countries,n_edits_million,n_users,bing_n_edits_million,bing_n_edits_proportion,bing_n_users,bing_n_users_proportion,esri_n_edits_million,esri_n_users,maxar_n_edits_million,maxar_n_users,mapbox_n_edits_million,mapbox_n_users,mapillary_n_edits_million,mapillary_n_users
[ABW],0.033993,448,0.003313,0.09746124202041596,68,0.15178571428571427,0.0008,35,0.005103,48,0.000103,10,0.000173,6
[AFG],3.472995,4129,0.793293,0.22841754739065273,481,0.11649309760232501,0.315211,461,1.872709,537,0.011683,72,0.000142,10
[AGO],0.913158,2367,0.095967,0.10509353255405963,378,0.1596958174904943,0.051511,215,0.189792,377,0.015242,52,0.019989,48
[AIA],0.017795,192,0.002266,0.12733914020792358,37,0.19270833333333334,0.001731,10,0.002878,29,3.2e-05,6,,
[ALA],0.186264,506,0.008447,0.04534961130438517,103,0.20355731225296442,0.000798,27,0.00067,18,0.000196,16,0.000102,6
[ALB],0.612679,2267,0.224196,0.3659273453145938,334,0.14733127481252756,0.07375,199,0.04286,194,0.007821,64,0.008738,78
[AND],0.057623,588,0.010038,0.17420127379692138,71,0.12074829931972789,0.001151,19,0.000479,17,7.7e-05,6,1.6e-05,5
[ARE],3.836869,3515,0.130336,0.03396936408305835,445,0.12660028449502134,0.385345,341,1.7149,423,0.01551,70,0.139391,179
[ARG],10.552797,8871,0.814855,0.07721696911254902,990,0.11159959418329388,0.695637,504,0.898794,572,0.157731,197,0.095616,208
[ARM],1.049301,2044,0.125029,0.11915456098869628,212,0.10371819960861056,0.073806,188,0.135049,262,0.009682,33,0.012241,26
[ASM],0.012485,168,0.003405,0.27272727272727276,37,0.22023809523809523,0.003617,17,0.002423,36,0.000116,6,9e-06,1
[ATA],0.081706,501,0.005386,0.06591927153452623,73,0.14570858283433133,0.000492,20,0.003378,26,1.9e-05,4,7e-06,3
[ATF],0.013485,228,0.005075,0.3763440860215053,50,0.21929824561403508,0.000658,19,0.001558,27,0.000269,9,,
[ATG],0.011337,272,0.003379,0.29805063067830995,56,0.20588235294117646,0.002025,34,0.001334,42,0.000974,6,0.001138,13
[AUS],19.841921,15074,4.250255,0.21420582210764777,2317,0.15370837203131218,0.898369,537,0.479062,387,0.131275,183,0.498148,319
[AUT],10.620669,18558,0.635813,0.0598656261672405,1491,0.08034270934367928,0.085445,443,0.054863,217,0.010598,120,0.264001,243
[AZE],1.250786,2161,0.093682,0.07489850382079749,278,0.12864414622859788,0.0475,254,0.322475,329,0.004002,60,0.000459,35
[BDI],1.165961,2521,0.225294,0.19322601699370734,218,0.0864736215787386,0.019353,132,0.202797,217,0.001258,18,0.000111,7
[BEL],14.63074,14270,3.636645,0.24856193193235615,1307,0.09159074982480729,0.119776,252,0.006334,92,0.003617,81,0.305678,308
[BEN],0.644005,1834,0.239389,0.3717191636710895,476,0.2595419847328244,0.024219,202,0.231594,399,0.001834,28,0.000429,14
[BES],0.013016,208,0.004278,0.3286724031960664,31,0.14903846153846154,0.000428,17,0.000602,23,6e-06,2,2.2e-05,3
[BFA],1.132074,3432,0.338449,0.2989636719861069,370,0.10780885780885781,0.071541,248,0.273061,428,0.009066,34,0.000533,17
[BGD],5.863475,17669,1.847045,0.31500859132169917,1186,0.06712321014205672,0.296987,525,0.988893,1097,0.049612,202,0.006185,94
[BGR],2.258302,3603,0.313012,0.13860502271175423,461,0.1279489314460172,0.202892,242,0.10538,225,0.016706,93,0.047887,108
[BHR],0.23766,662,0.038083,0.16024152150130438,149,0.22507552870090636,0.078579,161,0.117459,154,0.00969,30,0.081911,106
[BHS],0.149007,668,0.099563,0.668176662841343,145,0.21706586826347304,0.084293,77,0.067613,72,0.075002,22,0.006255,18
